topic,level,num_questions_type_10,num_questions_type_11,num_questions_type_12,num_questions_type_13,num_questions_type_14,cid
Describe marriage,5,10,10,10,10,10,174
Discuss a trip in nature,5,10,10,10,10,10,175
Share a secret,5,10,10,10,10,10,176
Discussing medical issues,5,10,10,10,10,10,177
Talk about your studies,5,10,10,10,10,10,178
Talk about a move,5,10,10,10,10,10,179
Talk about your daily commute,5,10,10,10,10,10,180
Express surprise,5,10,10,10,10,10,181
Describe Technology,5,10,10,10,10,10,182
Talk about Politics,5,10,10,10,10,10,183
Express fear,5,10,10,10,10,10,184
Talk about movies,5,10,10,10,10,10,185
Talk about a Tournament,5,10,10,10,10,10,186
Make transactions,5,10,10,10,10,10,187
Establish contacts,5,10,10,10,10,10,188
Describe Geography,5,10,10,10,10,10,189
eat in a restaurant,5,10,10,10,10,10,190
Comment on music,5,10,10,10,10,10,191
Talk about crime,5,10,10,10,10,10,192
Talk about pastimes,5,10,10,10,10,10,193
Buy items you need,5,10,10,10,10,10,194
Talk about historical eras,5,10,10,10,10,10,195
Recount experience,5,10,10,10,10,10,196
Express Gratitude,6,10,10,10,10,10,197
Talk about your home,6,10,10,10,10,10,198
Talk about interests,6,10,10,10,10,10,199
Lead a conversation,6,10,10,10,10,10,200
Share anecdotes,6,10,10,10,10,10,201
Recount your Latest trip,6,10,10,10,10,10,202
talk about news,6,10,10,10,10,10,203
Talk about television,6,10,10,10,10,10,204
Talk about history,6,10,10,10,10,10,205
Make plans with friends,6,10,10,10,10,10,206
Refer to extended family,6,10,10,10,10,10,207
Make Complaints,6,10,10,10,10,10,208
Report what someone said,6,10,10,10,10,10,209
Talk about religion,6,10,10,10,10,10,210
Make suggestions,6,10,10,10,10,10,211
Plan a move,6,10,10,10,10,10,212
Apologize,6,10,10,10,10,10,213
Talk about your goals,6,10,10,10,10,10,214
Arrange auto maintenance,6,10,10,10,10,10,215
Comment on food,6,10,10,10,10,10,216
Communicate with doctors,6,10,10,10,10,10,217
Talk about life at school,6,10,10,10,10,10,218
Plan a party,6,10,10,10,10,10,219
Talk about news,6,10,10,10,10,10,220
Talk about traffic,6,10,10,10,10,10,221
Describe nature,6,10,10,10,10,10,222
Ask for and give advice,6,10,10,10,10,10,223
Talk about professional life,6,10,10,10,10,10,224
Talk about places,6,10,10,10,10,10,225
Talk about famous people,6,10,10,10,10,10,226
Talk about food,6,10,10,10,10,10,227
Maintain a conversation,6,10,10,10,10,10,228
Return an item,6,10,10,10,10,10,229
Make announcements,6,10,10,10,10,10,230
describe Your home,6,10,10,10,10,10,231
Talk about mistakes,6,10,10,10,10,10,232
Express fear,6,10,10,10,10,10,233
Use the internet,6,10,10,10,10,10,234
Talk about the arts,6,10,10,10,10,10,235
Describe traditons,6,10,10,10,10,10,236
Eat at a restaurant,6,10,10,10,10,10,237
Discuss the environment,6,10,10,10,10,10,238
Express preferences,6,10,10,10,10,10,239
Talk about beauty,6,10,10,10,10,10,240
Shop for sales,6,10,10,10,10,10,241
Comment On sports,6,10,10,10,10,10,242
Talk about wellness,6,10,10,10,10,10,243
Collaborate at work,6,10,10,10,10,10,244
resolve problems,6,10,10,10,10,10,245
talk about news,6,10,10,10,10,10,246
Talk about history,6,10,10,10,10,10,247
Express Wishes,6,10,10,10,10,10,248
Give and get permission,6,10,10,10,10,10,249
Give health advice,6,10,10,10,10,10,250
discuss moving,6,10,10,10,10,10,251
Give advice,6,10,10,10,10,10,252
Take on a project,6,10,10,10,10,10,253
Talk about Gardening,6,10,10,10,10,10,254
Plan a trip,6,10,10,10,10,10,255
Catch up at a reunion,6,10,10,10,10,10,256
Talk about politics,6,10,10,10,10,10,257
predict the weather,6,10,10,10,10,10,258
discuss potential risks,6,10,10,10,10,10,259
Discuss obligations,6,10,10,10,10,10,260
Debunk American cliches,6,10,10,10,10,10,261
Express regret,6,10,10,10,10,10,262
Talk about college,6,10,10,10,10,10,263
Reminisce about the past,6,10,10,10,10,10,264
Express preferences,6,10,10,10,10,10,265
Communicate a work,6,10,10,10,10,10,266
Discuss etiquette,6,10,10,10,10,10,267
Describe symptoms,6,10,10,10,10,10,268
Talk about (home) Renovations,6,10,10,10,10,10,269
Talk about relationships,6,10,10,10,10,10,270
Tell stories,6,10,10,10,10,10,271
Talk about goals,6,10,10,10,10,10,272
exchange gossip/talk about rumors,6,10,10,10,10,10,273
Narrate past events,6,10,10,10,10,10,274
Make Complaints,6,10,10,10,10,10,275
discuss cause and effect,6,10,10,10,10,10,276
Talk about television,6,10,10,10,10,10,277
Talk about news,6,10,10,10,10,10,278
Express opinions,6,10,10,10,10,10,279
Comfort somebody,6,10,10,10,10,10,280
Maintain a conversation,6,10,10,10,10,10,281
Negotiate at work,6,10,10,10,10,10,282
Blame someone,6,10,10,10,10,10,283
Discuss hypotheticals,6,10,10,10,10,10,284
Give reasons and justifications,6,10,10,10,10,10,285
ask for things in a softened way,6,10,10,10,10,10,286
Negotiate while shopping,6,10,10,10,10,10,287
understand a local New report,6,10,10,10,10,10,288
Talk a about music history,6,10,10,10,10,10,289
Use the present perfect Progressive,6,10,10,10,10,10,290
Talk about how things have changed,6,10,10,10,10,10,291
Express disagreement,6,10,10,10,10,10,292
Present a counter-argument,6,10,10,10,10,10,293
Express frustration,6,10,10,10,10,10,294
discuss plans for a work party,6,10,10,10,10,10,295
Make Conclusion an deducations,6,10,10,10,10,10,296
Tell stories around a Campfire,6,10,10,10,10,10,297
Describe a move to the big city,6,10,10,10,10,10,298
Nevigate a trip to a theme park,6,10,10,10,10,10,299
Negotiate chores with roommates,6,10,10,10,10,10,300
Express How certain or uncertain you are,6,10,10,10,10,10,301
Confirm information,6,10,10,10,10,10,302
Express good Wishes for someone,6,10,10,10,10,10,303
talk about you plans for a trip,6,10,10,10,10,10,304
Use the future perfect Progressive,6,10,10,10,10,10,305
Make plans for a Friday night,6,10,10,10,10,10,306
Navigate transactions at a garage sale,6,10,10,10,10,10,307
Response to a Command or request,6,10,10,10,10,10,308
Politely decline an offer or proposal,6,10,10,10,10,10,309
Talk About Household chores,6,10,10,10,10,10,310
catch up with an old friend,6,10,10,10,10,10,311
Use the past perfect passive,6,10,10,10,10,10,312
Express limitations or caveats,6,10,10,10,10,10,313
Talk about sporting events,6,10,10,10,10,10,314
understand a guided tour,6,10,10,10,10,10,315
Speculate about mysteries,6,10,10,10,10,10,316
interact at a magic show,6,10,10,10,10,10,317
Reminisce about childhood,6,10,10,10,10,10,318
explain a complicated station,6,10,10,10,10,10,319
Express relief and Congratulations,6,10,10,10,10,10,320
